"spinglass (0.5,0.5)","spinglass (0.5,1)","spinglass (1,0.5)","spinglass (1,1)",sponge (k = 1),sponge (k = 2),sponge (k = 3),sponge (k = 4),sponge (k = 5),sponge (k = 6),sponge (k = 7),sponge (k = 8),sponge (k = 9),sponge (k = 10),username_vote
0,0,1,1,0,0,0,0,0,0,0,3,1,1,0253d09913b51b29eac581dee5f50c93e75e8677
0,0,1,1,0,0,0,2,4,4,0,3,1,1,0257a0dfdaba5baa4db97d65218a58f17988d786
0,0,2,2,0,0,0,2,4,4,5,0,8,0,025f4c6741f1dd27e6e4c10f87affe6a69759a2e
0,0,2,2,0,0,0,2,4,4,5,0,8,0,026246d166c7bf8d3dd2f994f1f09ece9d9564e5
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0276c062ebeb35f8619fb3bf3a89fd13d8608949
0,0,2,2,0,0,0,2,4,4,5,0,8,0,0278bba4f150a27baa03818bd98dba13a4d4c93f
0,0,0,0,0,0,0,2,4,4,0,3,1,1,0279d93073e8e7e165efc395c314cc6371840bd2
0,0,0,0,0,0,0,2,4,4,5,0,8,0,027bab5e51d6de60156b2e017c1c22e5169d6104
1,1,1,1,0,0,0,0,0,0,0,3,1,1,0291f71a870f82e85b5fb1e31ca25d7e89022d65
0,0,1,1,0,0,0,0,0,0,0,3,1,1,029fd135c67678f0a27e4d6e838a3d8bd98c2a27
0,0,0,0,0,0,0,2,4,4,5,0,8,0,02aec93db9a9c3c5aa78af6f19700533e2e9f0d6
0,0,2,2,0,0,0,2,4,4,5,0,8,0,02ba6b2dacae3b8a275bf1d44bfe4b2b74de3e3c
0,0,2,2,0,0,0,2,4,4,5,0,8,0,02bfd7e0516c0cd40e2ad7d3f01292b419c0c64b
0,0,0,0,0,0,0,0,0,0,0,3,1,1,02c6882d1767c6254d9265fff54bac02b3e13c88
0,0,0,0,0,0,0,0,0,0,0,3,1,1,02d62aea8eaed10965bb1e153c96dd6d987b9de0
0,0,2,2,0,0,0,2,4,4,5,0,8,0,02d6ece266263d1a3dd4b317ac04ff300baca34b
0,0,0,0,0,0,0,0,0,0,0,3,1,1,02d8dc5f0ffdc26918562a18e54bceda6617c221
0,0,2,2,0,0,0,2,4,4,5,0,8,0,02dfe287090bca01db509d2b2eb449931735956d
0,0,1,1,0,0,0,0,0,0,0,3,1,1,02f1c17b021f593b94fa2cbaf457e21f0eebfeb1
0,0,0,0,0,0,0,0,0,0,0,3,1,1,02f64dee2b3745674eb1a010324bbd266c3adbb4
0,0,0,0,0,0,0,0,0,0,0,3,1,1,02feeac966f5b82a4cb6e06bea70ee0c424a6e1a
0,0,0,0,0,0,0,2,4,4,0,3,1,1,030c0e90e68d6eedf985986155285034b24826e4
0,0,0,0,0,0,0,0,0,0,0,3,1,1,03170b8a9d2a00cfab28f7010d4a7d67bf4eb723
0,0,0,0,0,0,0,0,0,0,0,3,1,1,031bd8fe224c9db80dc785985ac012b77f2501ae
0,0,0,0,0,0,0,0,0,0,0,3,1,1,032f07e099e8956a91694aeb1fe48e785666b708
0,0,1,1,0,0,0,0,0,0,0,3,1,1,03315882dfd6b5c42ac15b601787694a9fcbea3d
0,0,0,0,0,0,0,2,4,4,5,0,8,0,033376d310e69d765ca03e9e749a6915012ba313
0,0,1,1,0,0,0,0,0,0,0,3,1,1,0335a320b4579f466f5bffd67882579973f38f99
0,0,0,0,0,0,0,0,0,0,0,3,1,1,03374ca44f2c70cc74fa5412d4ffb841b80b29a2
0,0,2,2,0,0,0,2,4,4,5,0,8,0,0337b40571ddcf3abd9ccfaf94ed7549f565bba6
0,0,0,0,0,0,0,0,0,0,0,3,1,1,033ce34d55c66081b7ad7bc5e5952a38bfdb910c
0,0,5,1,0,0,0,0,0,0,0,3,1,1,0341dc234736f25a920c0304da4a97c084f8d999
0,0,0,0,0,0,0,2,4,4,5,0,8,0,0348b2162c573b3b44029596e700be04091c8f00
1,1,1,1,0,1,2,1,3,5,1,4,2,6,0355772812adedc1301a485e1d09e2018fcad0b7
1,1,1,1,0,1,2,1,2,1,3,2,0,4,0355a594ba373c34361ed6b4d37a26a8a78ceaad
0,0,2,2,0,0,0,2,4,4,5,0,8,0,0355de59e0dfff8d1d15d719a8ad957b1cb8862f
0,0,2,2,0,0,0,2,4,4,5,0,8,0,03577f49bc87e62404f5de5e6bfa55c25af94f9f
0,0,2,2,0,0,0,2,4,4,5,0,8,0,03617161e1c97ea37a639fce58459111a5ed15fa
