level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10
662,12,0,0,0,0,0,0,0,0,0
983,0,0,0,0,0,0,0,0,0,0
662,0,0,0,0,0,0,0,0,0,0
662,12,0,0,0,0,0,0,0,0,0
662,12,0,0,0,0,0,0,0,0,0
512,5,0,0,0,0,0,0,0,0,0
639,12,0,0,0,0,0,0,0,0,0
983,16,0,0,0,0,0,0,0,0,0
696,12,0,0,0,0,0,0,0,0,0
639,12,0,0,0,0,0,0,0,0,0
662,12,0,0,0,0,0,0,0,0,0
696,22,0,0,0,0,0,0,0,0,0
823,22,0,0,0,0,0,0,0,0,0
639,0,0,0,0,0,0,0,0,0,0
662,19,0,0,0,0,0,0,0,0,0
662,5,0,0,0,0,0,0,0,0,0
983,12,0,0,0,0,0,0,0,0,0
639,0,0,0,0,0,0,0,0,0,0
639,16,0,0,0,0,0,0,0,0,0
639,0,0,0,0,0,0,0,0,0,0
639,19,0,0,0,0,0,0,0,0,0
493,5,0,0,0,0,0,0,0,0,0
639,22,0,0,0,0,0,0,0,0,0
404,16,0,0,0,0,0,0,0,0,0
919,0,0,0,0,0,0,0,0,0,0
662,16,0,0,0,0,0,0,0,0,0
493,12,0,0,0,0,0,0,0,0,0
655,0,0,0,0,0,0,0,0,0,0
512,19,0,0,0,0,0,0,0,0,0
512,19,0,0,0,0,0,0,0,0,0
670,12,0,0,0,0,0,0,0,0,0
